"","X.1","Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","yld7","GNDVI_138","NDVI_138","GNDVI_145","NDVI_145","GNDVI_152","NDVI_152","GNDVI_160","NDVI_160","GNDVI_165","NDVI_165","GNDVI_173","NDVI_173","GNDVI_179","NDVI_179","GNDVI_187","NDVI_187","GNDVI_192","NDVI_192","GNDVI_201","NDVI_201","GNDVI_206","NDVI_206","GNDVI_215","NDVI_215","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228","GNDVI_242","NDVI_242","GNDVI_257","NDVI_257","GNDVI_263","NDVI_263","GNDVI_278","NDVI_278","GNDVI_293","NDVI_293","GNDVI_299","NDVI_299","GNDVI_307","NDVI_307","sca_yld2","sca_yld3","sca_yld4","sca_yld5","sca_yld6","sca_yld7","GNDVI_153","GNDVI_181","GNDVI_207","GNDVI_243","GNDVI_279","GNDVI_310","spa_int_yld2","spa_slp_yld2","PEE_153","spa_int_yld3","spa_slp_yld3","PEE_181","spa_int_yld4","spa_slp_yld4","PEE_207","spa_int_yld5","spa_slp_yld5","PEE_243","spa_int_yld6","spa_slp_yld6","PEE_279","spa_int_yld7","spa_slp_yld7","PEE_310"
"1",1,"SW_8421S","1","100","1","1",5.5,4.88822534688889,3.5,4.4,4.8,3.85,0.101328611865837,0.422070838,0.312590523641739,0.499096815,0.349758811942909,0.510859884,-0.0175882122192969,0.243591044,0.0900460044429422,0.313637281,0.227991718388236,0.407856749,0.268797100033474,0.433260896,0.0586499538053729,0.332983345,0.0619076767572968,0.443327586,0.167787879413177,0.376336617,0.161698614792604,0.42445291,0.00409910217988488,0.262117029,0.12058552714888,0.439569986,0.140228799031329,0.36626584,0.322002505508648,0.464170761,0.0673501559319571,0.320858806,0.179156197855767,0.420584716,0.329412013278908,0.463079058,0.243612833686178,0.412223027,0.19839118933518,0.465170254,0.347261048812221,0.50311007,0.202420563247334,0.166244927761492,0.112730972681857,0.319504328507642,0.163277630353368,0.204465379243987,0.202420563247334,0.166244927761492,0.112730972681857,0.319504328507642,0.163277630353368,0.204465379243987,0.0168963893344198,0.000206141076014045,0.0172534361500428,0.0045380751320785,-0.017309178365701,-0.0254423011035766,-0.0182638642888412,-0.0117608484837003,-0.038634251313713,-0.0165936085869495,-0.00626518196203081,-0.0274452220164306,-0.0143071805224279,1.16430157319988e-06,-0.0143051638929566,0.0315547654424865,-0.00619628681873479,0.0208224819010674
"2",2,"SW_1011","1","101","1","2",4.85,4.90053046244444,3.6,4.3,4.4,3.25,0.0677192080356383,0.443246819,0.269327407202038,0.44583688,0.307854697005471,0.478753533,-0.0211460904887795,0.22945833,0.063703026727897,0.325712375,0.214468069438523,0.388462712,0.255181514566975,0.420886095,0.0704816063994753,0.390089825,0.055875782361211,0.443430429,0.167659364806136,0.372515758,0.179079708041732,0.428228624,-0.00181140397092141,0.305829229,0.135674398884287,0.437765848,0.167252738477975,0.381703679,0.335230984808443,0.476221429,0.0684162489523993,0.302535373,0.171366684041928,0.406067694,0.32561287554151,0.460701777,0.217516823728286,0.387131994,0.153359573906068,0.421456831,0.310434334434757,0.457700999,0.178498133045377,0.16666341563827,0.115951857615625,0.312242866496105,0.149671161157254,0.172600644816353,0.178498133045377,0.16666341563827,0.115951857615625,0.312242866496105,0.149671161157254,0.172600644816353,-0.013139304712265,-0.0011689019508468,-0.0151639022713508,0.00322253304548122,-0.016543018158704,-0.0254308147907167,-0.0125250503831145,-0.00968951375202865,-0.0293077804289267,-0.00608667288196452,-0.00221598368107289,-0.00992486918955376,-0.0137904762519441,-3.79833163583063e-05,-0.0138562652854292,0.00527182391652883,-0.00553405169826519,-0.00431343475469276
"3",3,"SW_9813","2","102","1","3",3.85,3.68018661422222,2.85,4.35,4.65,3.6,0.0103837132978349,0.449106971,0.207551719878675,0.422188921,0.228909108445925,0.452279268,-0.0219490821010521,0.168432035,0.0207270102122393,0.393057017,0.172209317403776,0.324904009,0.173008412708129,0.377824529,0.0607895248476669,0.357597123,0.0380757917893053,0.435257611,0.159359355641858,0.315955141,0.144779572441821,0.411263378,0.00795372972118852,0.280181986,0.148325888857564,0.438453279,0.151352190517421,0.372241081,0.347325307751877,0.484939061,0.103690378070813,0.317382111,0.185483015641172,0.428300728,0.341753832728546,0.479392245,0.235666621181683,0.422857626,0.162210308135012,0.449742313,0.317582287122217,0.474024103,0.141694394273134,0.125160424164891,0.0917952206123696,0.315873597501873,0.158175204404825,0.191188406565806,0.141694394273134,0.125160424164891,0.0917952206123696,0.315873597501873,0.158175204404825,0.191188406565806,-0.044538717124699,-0.00713338409259866,-0.0568941007489917,-0.0166904859214893,-0.0245807533219503,-0.059265599377376,-0.0228647191964255,-0.0157005080604364,-0.0500587967429108,-0.0158458766490702,-0.00815937442448051,-0.0299783276484912,-0.0208510483335432,-0.000143514761085515,-0.0210996231902931,0.00670039185855178,-0.00461690722090991,-0.00129632598695101
"4",4,"DONA_ANA","2","103","1","4",4.8,4.42719823411111,3.5,4.25,4.2,3.1,0.0579891764928697,0.431810224,0.255837671852531,0.487322382,0.275343825303152,0.503095607,-0.0113839274582651,0.163506147,0.0543740717289083,0.400787502,0.221489703393445,0.39689034,0.219996509316974,0.419479665,0.0591367194236941,0.321068037,0.0709091142482485,0.437919327,0.20433430897226,0.375626367,0.197378811890677,0.443767762,0.0275209656610454,0.262820074,0.186985105272065,0.451660153,0.178774253094181,0.387526597,0.365510919316797,0.494473066,0.121879471979182,0.303687972,0.212809533177849,0.43639786,0.350016198862279,0.496496346,0.250923495763377,0.434446859,0.1853441356258,0.462001327,0.335709243828958,0.492179772,0.176657946106764,0.150565736721617,0.112730972681857,0.308612135490336,0.142867926559197,0.164634461209444,0.176657946106764,0.150565736721617,0.112730972681857,0.308612135490336,0.142867926559197,0.164634461209444,-0.00945125437251981,-0.0087136626789991,-0.0245437607866103,-0.00398380049824308,-0.0187887909059651,-0.0365269408179526,-0.00758193294593038,-0.00831377057857991,-0.0219818059275762,-0.000975912891960016,-0.00807617717409376,-0.0149642620272908,-0.0133468409078929,-0.000257954865127142,-0.0137936318384003,0.0266998221334535,-0.00742694880961472,0.0138359695062013
"5",5,"NM1715PAR","3","104","1","5",2.3,1.65812404877778,1.25,1.95,2.55,1,-0.0181408428769045,0.449098904,0.119188089308654,0.402788788,0.107645983458653,0.389580715,-0.0241871113162689,0.177038903,-0.0134334618584679,0.399833234,0.0847572755789539,0.237625906,0.0489827918011309,0.359323011,0.0429274118134463,0.307776244,-0.00899715135977389,0.434044487,0.0833010604640786,0.260963596,0.0460895347810768,0.39809272,-0.00764583722869392,0.24318096,0.0511699610084647,0.430172688,0.076245958689572,0.316021047,0.235217748209832,0.390718882,0.0605817698630476,0.272381532,0.112655424922217,0.380672628,0.260080693414463,0.383961887,0.136070662685092,0.29304163,0.064726797637568,0.374828933,0.199242518230876,0.369714151,0.084648599176158,0.0563915722265331,0.0402610616720919,0.141598509224978,0.0867412411252268,0.0531078907127239,0.084648599176158,0.0563915722265331,0.0402610616720919,0.141598509224978,0.0867412411252268,0.0531078907127239,-0.0734876153031647,-0.02222881655086,-0.111989054793135,-0.0238403667141036,-0.0388923704663093,-0.091203928094171,-0.0315869478118394,-0.0211165468236239,-0.0681618796309346,-0.0330251463810078,-0.023423628562191,-0.0735960609710537,-0.0358702933167679,-0.000224458300171552,-0.0362590664951467,-0.00707846057996054,-0.00656485975509967,-0.0184491311706687
"6",6,"NM170506PAR","3","105","1","6",4.25,4.26144333144444,3.15,3.9,4.45,2.95,0.0335253674589568,0.436150303,0.215263590913476,0.464642049,0.243933566637404,0.485839655,-0.00889766109081286,0.157382696,0.0454122553420502,0.390525356,0.213024511465394,0.389347898,0.229664974379104,0.438702715,0.0756052511263853,0.428646558,0.0685747131206493,0.422447783,0.195485744584678,0.3533782,0.206541884385294,0.435228886,0.0478495702188322,0.223367402,0.167706403700787,0.425509223,0.161571244056142,0.380248602,0.352415566391442,0.475407772,0.104741947072509,0.316422124,0.183101082422572,0.451683315,0.351482806790501,0.49644045,0.239153647821563,0.401359051,0.159431243480961,0.449682812,0.314169157231381,0.473873564,0.156415889782031,0.144928535106623,0.101457875413672,0.283197018449955,0.151371969806768,0.156668277602535,0.156415889782031,0.144928535106623,0.101457875413672,0.283197018449955,0.151371969806768,0.156668277602535,-0.0257382646165767,-0.0103652603909527,-0.0436914221689347,-0.00121527313968734,-0.0207406320103567,-0.0371391014057312,-0.00962332442015576,-0.0133865568931483,-0.0328095209961788,-0.0132091534212777,-0.0242152798903176,-0.0551512483275262,-0.0207277419672557,-0.000144215774894085,-0.0209775310155336,0.0131092852352009,-0.00651922544966953,0.00181765557972041
"7",7,"NM1704PAR","4","106","1","7",4.7,4.50088565122222,3.3,3.7,4.2,2.8,0.0415111418534412,0.453867675,0.253064518464028,0.484030226,0.288065709133265,0.51844149,-0.022395359395226,0.16070192,0.0311986783264163,0.400994422,0.2331465193811,0.418164907,0.264171074447027,0.455278703,0.0256521749884153,0.339837376,0.0535665478807416,0.424305183,0.194247800461948,0.366843324,0.22551818453026,0.434480377,0.0108200099828089,0.195216354,0.160796994417904,0.421042919,0.160705966741748,0.380089425,0.353531649279239,0.469213657,0.103601682241183,0.304130801,0.18281575565622,0.436589599,0.354079534977524,0.506890794,0.219877547642452,0.367459995,0.161050434817056,0.438910786,0.32184523128827,0.478659502,0.17297757222954,0.15307179126396,0.106289202814323,0.268674094426881,0.142867926559197,0.148702093995627,0.17297757222954,0.15307179126396,0.106289202814323,0.268674094426881,0.142867926559197,0.148702093995627,-0.000812255353507884,-0.00283889091510491,-0.00572935863412808,0.00562833450132436,-0.0110387447484036,-0.0134913321711438,-0.00659198276707213,-0.00462551062461496,-0.014603602144845,-0.0158656805528612,-0.0136787984667889,-0.0395580543803017,-0.0187410209494281,-0.000101784132965476,-0.0189173162383583,0.0227122705458078,-0.00589342429395276,0.0125045602827275
"8",8,"NM1712PAR","4","107","1","8",3.05,3.07337277522222,2.05,2.5,2.9,1.65,0.0160852724814826,0.441762612,0.209873158885617,0.453545259,0.234033142756956,0.49231523,-0.0290689695048286,0.187713725,0.0161907932400825,0.393833183,0.190823350589324,0.352879427,0.19690835755679,0.419900732,0.00152672565697975,0.356125072,0.0296059339306855,0.424187083,0.161085231362815,0.334523737,0.172509941037056,0.413721459,-0.00945187895197234,0.198551523,0.131804468546494,0.40748851,0.120709937491397,0.353379346,0.301293201842844,0.436820138,0.0710191012123952,0.273248448,0.139178856607153,0.415142344,0.310828499750329,0.469593542,0.17008721503114,0.326256641,0.108862550947086,0.410386743,0.242757134400308,0.426357433,0.11225140325534,0.104523134418534,0.0660281411422308,0.181536550288433,0.0986469016718265,0.0876280196759944,0.11225140325534,0.104523134418534,0.0660281411422308,0.181536550288433,0.0986469016718265,0.0876280196759944,-0.0262368920176187,-0.00910034083828092,-0.0419991446468358,-0.00924591377664507,-0.0206503869559791,-0.0450134330240582,-0.0205261001871113,-0.00912461425567509,-0.0363303956083448,-0.033874354941566,-0.0218024001028301,-0.0716372194815929,-0.0464897581422969,-0.00022646756575784,-0.0468820114707418,-0.00432022206561411,-0.00555134236636415,-0.013935429052349
"9",9,"NUMEX_BILL_MELTON","4","108","2","8",4.6,4.27094769322222,3.3,4,4.15,2.8,0.0297306355132695,0.426003392,0.236328515547613,0.482036821,0.274523882562132,0.522032369,-0.0321286590013181,0.226895552,0.0199001393625111,0.389853369,0.185269594266073,0.364783791,0.229822476853631,0.442905942,-9.60180512625227e-05,0.335264067,0.00441448913105103,0.42038617,0.171340512476868,0.358170677,0.204630312509034,0.427096683,-0.0107166652333472,0.194955669,0.165163139222338,0.421221545,0.160221289912915,0.364675178,0.326080703397142,0.463845414,0.0813739132737585,0.29639285,0.16508482839061,0.411805179,0.346166151043718,0.510125717,0.196207505158412,0.383777534,0.141175439328342,0.435470405,0.289151379947991,0.448996335,0.169297198352316,0.145251771419403,0.106289202814323,0.290458480461493,0.141167117909683,0.148702093995627,0.169297198352316,0.145251771419403,0.106289202814323,0.290458480461493,0.141167117909683,0.148702093995627,-0.00359284779422559,-0.00354342891781849,-0.00973024668607624,0.00546739032593769,-0.0142324129064179,-0.0191838718345538,-0.0120273227643924,0.000245344381433022,-0.0116023738322559,-0.00617125311296588,-0.00765925284770063,-0.019437468135228,-0.0228982598214708,-7.75434509062904e-05,-0.0230325690176478,0.0212344524054427,-0.00623672903592224,0.0104321208893903
"10",10,"NUMEX_BILL_MELTON","4","109","2","7",4.65,4.31781635122222,3.15,3.9,4.15,2.85,0.0263115261869956,0.424595623,0.223027616730284,0.474312404,0.260580200578273,0.506540836,-0.0292864759774865,0.201101211,0.0151515782022641,0.399683299,0.185942913392752,0.359210904,0.225061239098435,0.441829511,0.0227305572786025,0.318575429,0.0136211663840882,0.42297513,0.160061156124386,0.33669056,0.204377546351962,0.427312415,0.00171738052397792,0.195687738,0.157505293048547,0.430094611,0.157055083703033,0.344498385,0.314017021755201,0.455623592,0.0778247560890315,0.298691183,0.180955782598949,0.401609413,0.343378447712302,0.494334387,0.192715383975222,0.380888742,0.136835800654672,0.443026752,0.304959707916844,0.458660305,0.171137385290928,0.14684573980477,0.101457875413672,0.283197018449955,0.141167117909683,0.151357488531263,0.171137385290928,0.14684573980477,0.101457875413672,0.283197018449955,0.141167117909683,0.151357488531263,-0.0102972118262832,-0.00543835255136242,-0.0197167147135526,0.00565869726330934,-0.0150799653214478,-0.0204605687356766,-0.0100944710733559,-0.00417058934981113,-0.0173181436931677,-0.00840836980054381,-0.0124312840168157,-0.0299399852268966,-0.0194442453569323,-0.000132404170988883,-0.0196735761072169,0.0175799753573631,-0.00489231331460916,0.00910624016694365
